Timestamp,Open,High,Low,Close,Volume
1778220600,24207.15,24212.95,24199.45,24199.45,2411757
1778220900,24200.6,24208.4,24195.75,24199.85,2270123
1778220900,24200.6,24208.4,24195.75,24199.85,2270123
1778221200,24200.85,24209.8,24197.85,24204.3,3539198
1778221200,24200.85,24209.8,24197.85,24204.3,3539198
1778221500,24205.15,24207.35,24190.2,24205.85,2404431
1778221500,24205.15,24207.35,24190.2,24205.85,2404431
1778221800,24206,24212,24187.45,24200.9,2615376
1778221800,24206,24212,24187.45,24200.9,2615376
1778222100,24200.9,24203.65,24177.25,24178.95,2794401
1778222100,24200.9,24203.65,24177.25,24178.95,2794401
1778222400,24179.5,24188.2,24172.2,24184.2,2651389
1778222400,24179.5,24188.2,24172.2,24184.2,2651389
1778222700,24185.2,24189.4,24170.05,24188.6,2736237
1778222700,24185.2,24189.4,24170.05,24188.6,2736237
1778223000,24190.05,24198.2,24178.25,24185.8,4665505
