RawTimestamp,Open,High,Low,Close,Volume
1751341500,25551.35,25568.25,25513.8,25538.15,14095036
1751341800,25538.75,25575.7,25538.25,25556.7,7255504
1751342100,25557.45,25579.7,25556.65,25573.55,5498992
1751342400,25574.2,25589.75,25574.15,25580.65,5113753
1751342700,25581.45,25584.8,25570.1,25584.2,5908157
1751343000,25584.3,25589.8,25580.1,25580.1,4893143
1751343300,25580.25,25593.4,25567.1,25590,5507052
1751343600,25590.95,25591.8,25558.6,25560.7,5822874
1751343900,25560.05,25572.75,25551.3,25569.6,4035924
1751344200,25569.75,25572.3,25538.3,25550.65,4323622
1751344500,25550.4,25557.55,25541.4,25547,3942995
1751344800,25547.6,25548.1,25530.5,25531.3,3093773
1751345100,25530.65,25543.4,25526.55,25531.6,3876711
1751345400,25531.95,25534.45,25522.85,25527,3296823
1751345700,25526.55,25546,25524.45,25545.8,2832979
1751346000,25546.25,25550.95,25540.9,25544.9,2842118
1751346300,25545.25,25554.25,25535.75,25553.4,3245938
1751346600,25553.85,25553.85,25540.4,25542.9,2591214
1751346900,25542.75,25546.7,25536.3,25537.7,2610279
1751347200,25537.9,25541,25526.65,25533.8,3095255
1751347500,25533.35,25533.4,25519.65,25520.95,2791882
1751347800,25521,25526.65,25513.3,25519.8,2444304
1751348100,25519.85,25524.6,25517.65,25520.65,2497838
1751348400,25521,25525.4,25518.75,25524.1,2606298
1751348700,25524.4,25535.6,25517.2,25530.1,3859383
1751349000,25529.55,25532.45,25522,25522.25,2074160
1751349300,25523.25,25528.1,25521.75,25526.3,2422181
1751349600,25527.15,25531.1,25518,25521.1,2568708
1751349900,25520.85,25530.45,25519.6,25530.45,2578199
1751350200,25529.55,25532.35,25521.55,25521.85,2983509
1751350500,25523.25,25531,25521.4,25525.3,1948819
1751350800,25525.8,25526.75,25511.25,25514.75,2594088
1751351100,25514.05,25516.4,25501.8,25515.4,2266430
1751351400,25515.3,25520.55,25511.1,25518.3,2198915
1751351700,25518.2,25521.4,25512.4,25518.5,2093354
1751352000,25518.85,25526.8,25516.2,25524.4,2387968
1751352300,25524.65,25536.5,25522.45,25535.65,3334326
1751352600,25535.45,25548.5,25535.1,25541.4,3653041
1751352900,25541.45,25551.3,25539.95,25541.75,2961141
1751353200,25541.1,25544.5,25525.05,25540.45,3165322
1751353500,25539.55,25547.2,25539.25,25543.15,3819841
1751353800,25542.7,25546.9,25537.5,25538.05,2366283
1751354100,25538.25,25542.7,25534.35,25541.75,2170733
1751354400,25542.05,25546.45,25531.7,25532.45,4630272
1751354700,25532.45,25538.85,25532.45,25534.25,2125677
1751355000,25534.1,25541.25,25531.65,25532.45,2206774
1751355300,25532,25534.55,25525.95,25529.7,1890817
1751355600,25529.7,25536.05,25529.7,25531.2,1837506
1751355900,25531.9,25535.1,25525.8,25529.55,1787171
1751356200,25528.8,25530.95,25523.2,25527.9,1704452
1751356500,25527.9,25529.8,25523.9,25527.9,1666539
1751356800,25528.1,25534.5,25525.8,25527.35,2601024
1751357100,25527.7,25536.1,25526.65,25534.3,1763212
1751357400,25534.6,25536.9,25527.9,25528.85,1966500
1751357700,25528.4,25530.35,25524,25528.35,2636674
1751358000,25528.05,25529.1,25523.65,25526.15,1769260
1751358300,25525.85,25531.8,25509.2,25530.5,4583474
1751358600,25530.6,25539.05,25526.25,25537.45,2598872
1751358900,25537,25545.7,25537,25538.9,3102394
1751359200,25539.3,25551.85,25537.8,25551.85,2241857
1751359500,25552.1,25552.2,25539.35,25541.55,3043235
1751359800,25541.8,25544.25,25536.9,25539.25,2338945
1751360100,25539.2,25542,25533.5,25534.7,2577734
1751360400,25534.45,25537.05,25531.5,25532.65,2166337
1751360700,25532.7,25533.6,25515.05,25528.8,5270437
1751361000,25529.35,25531.75,25525.1,25526,2288257
1751361300,25527.15,25530.3,25523.95,25529.3,2523327
1751361600,25530.1,25536.55,25525.2,25535.75,2780232
1751361900,25536.1,25543,25530.5,25535.15,2918424
1751362200,25536,25541.95,25532.35,25539.3,5796113
1751362500,25539.5,25548.5,25535.05,25543.6,7131825
1751362800,25544.1,25547.5,25530.5,25537.25,7921304
1751363100,25537,25550.05,25536.45,25549.05,8785767
1751363400,25549.65,25556.95,25530.7,25537.95,9100830
1751363700,25538.75,25544.25,25527,25533,6896407
1751427900,25588.3,25608.1,25573.15,25590.8,15365348
1751428200,25591.35,25604.55,25585,25585.95,7484008
1751428500,25584.4,25584.4,25559.05,25568.9,5505387
1751428800,25567.85,25576.45,25545.55,25546.65,4947432
1751429100,25548.5,25560.55,25546.75,25556,4090919
1751429400,25556.3,25556.3,25533.35,25535.9,4535742
1751429700,25535.35,25543.9,25531.3,25543.65,4039243
1751430000,25543.5,25559.15,25540.05,25540.5,3428480
1751430300,25541.4,25553.5,25532.7,25534.1,2863775
1751430600,25534.15,25535.55,25517.25,25526.7,3180596
1751430900,25527.15,25528.05,25513.05,25520.25,2581519
1751431200,25519.3,25530.9,25518.4,25526.1,2357294
1751431500,25525.05,25525.95,25496.85,25507.7,5042456
1751431800,25507.85,25528.15,25507.85,25518.85,3433705
1751432100,25519.8,25528,25515,25523.55,2308550
1751432400,25523,25523,25511.3,25513.85,2353466
1751432700,25514.8,25515.35,25492.7,25494.65,2205861
1751433000,25493.85,25495.05,25482.5,25491.75,2435328
1751433300,25491.45,25498.6,25485.6,25492.2,2171735
1751433600,25492.65,25494.2,25487.4,25491.65,2719946
1751433900,25493.2,25498.75,25488.85,25491.85,2602458
1751434200,25492,25494.45,25475.1,25486.25,2704455
1751434500,25485.9,25487.8,25473.5,25474,2679402
1751434800,25473.9,25477.2,25466.7,25477.2,1974522
1751435100,25477.3,25481.7,25463.4,25477.55,3108146
1751435400,25477.3,25488.25,25475.2,25486.1,4548103
1751435700,25484.3,25501.5,25483.95,25493.9,4795131
1751436000,25493.2,25494.3,25473.25,25476.8,3797463
1751436300,25477.9,25485.9,25474.4,25475.95,4660789
1751436600,25475.65,25485.45,25472.95,25485.3,3971135
1751436900,25485.5,25500.15,25480.45,25497.9,6029951
1751437200,25498.9,25499.75,25485.25,25494.3,4512185
1751437500,25495.7,25496.75,25489.8,25490,3978618
1751437800,25490.75,25492.45,25480.1,25489.75,5208055
1751438100,25489.45,25498.75,25487.7,25498.25,3298368
1751438400,25498.25,25503.95,25493.15,25499.5,4405646
1751438700,25499.15,25501.35,25488.95,25492.05,3329528
1751439000,25491.55,25496.8,25489.55,25495,3175813
1751439300,25495,25497.05,25488.8,25491.6,2992930
1751439600,25491.25,25495.6,25486.8,25489.35,4139353
1751439900,25489.25,25491.5,25484.7,25490.15,2606519
1751440200,25490.15,25495.65,25484.65,25493.75,2530280
1751440500,25494,25495.65,25480.15,25484.65,2852340
1751440800,25483.2,25484.85,25460.35,25477.4,4905274
1751441100,25477.4,25478.7,25472.25,25474.7,3890542
1751441400,25474.45,25489.95,25471.4,25485.1,4992099
1751441700,25486.15,25487.2,25477.35,25479.75,3397302
1751442000,25479.6,25481.7,25463.05,25463.1,3083150
1751442300,25463.45,25463.65,25443.15,25444.25,3157945
1751442600,25443.65,25446.45,25427.35,25432.15,5284771
1751442900,25431.85,25432.3,25404.2,25405.35,6689377
1751443200,25405.15,25415.85,25389.55,25408.95,4137233
1751443500,25408.55,25417.4,25405.95,25415.6,2475547
1751443800,25415.85,25417.65,25384.6,25396.8,2949999
1751444100,25397.35,25400.7,25383.95,25398.75,3489166
1751444400,25398.45,25407.15,25393.55,25394.9,2475043
1751444700,25395.4,25408.4,25387.75,25408.05,2949847
1751445000,25407.7,25408.6,25397.25,25403.4,2833541
1751445300,25403.85,25414.85,25402.85,25413.4,2462553
1751445600,25414.5,25425.1,25411.65,25415.3,2826249
1751445900,25417.15,25423.85,25413.2,25420.6,2917054
1751446200,25420.35,25421.95,25398.65,25407.25,6220563
1751446500,25407.4,25409.15,25400.45,25404.75,2958783
1751446800,25404.95,25411.8,25400.5,25401.4,2371624
1751447100,25401.5,25403.95,25389.8,25391.35,3416833
1751447400,25390.6,25403.75,25378.75,25398.3,5372120
1751447700,25399.1,25416.55,25397.05,25411.75,4408644
1751448000,25413.05,25413.05,25400.8,25406.95,3576604
1751448300,25408.6,25431,25406.35,25430.2,5214829
1751448600,25432.2,25458.35,25431.1,25456.35,8895640
1751448900,25457.3,25472.1,25450.35,25472.1,9556328
1751449200,25471.85,25472.8,25459.2,25459.55,9240982
1751449500,25459.35,25459.9,25440.05,25443.65,11057898
1751449800,25443.55,25452.55,25443.15,25445.7,8996803
1751450100,25445.55,25451.95,25441.3,25442.85,6757333
1751514300,25505.1,25522.25,25484,25521.05,18545003
1751514600,25522.75,25537.05,25459.35,25465.05,10058671
1751514900,25465.4,25478.95,25429.75,25435.45,6145527
1751515200,25434.85,25469.4,25434.85,25462.55,10913929
1751515500,25462.7,25496.15,25457.6,25464.9,5644036
1751515800,25464.4,25497.2,25453.85,25497.2,4408044
1751516100,25497.1,25518.25,25495.2,25518.15,4008692
1751516400,25517.25,25538.25,25502.35,25531.7,5114861
1751516700,25532.3,25547.25,25528.6,25545.35,5882256
1751517000,25545.95,25559.8,25533.4,25540.65,5242870
1751517300,25539.8,25551.6,25529.6,25545.1,3370558
1751517600,25545.8,25557.8,25533.95,25543.05,3264927
1751517900,25542.5,25553.1,25534.1,25542.75,2460216
1751518200,25542.35,25553.1,25532.15,25552.75,3187236
1751518500,25553.8,25567.5,25550.35,25553.05,3275439
1751518800,25551.95,25564.5,25551.95,25557.1,2415037
1751519100,25555.65,25562.25,25547.95,25551.55,2109305
1751519400,25550.9,25554.5,25544.7,25547.85,2973232
1751519700,25548,25548.9,25537.55,25547.85,3846198
1751520000,25546.25,25552.6,25531.2,25535.9,2823896
1751520300,25536.1,25539.05,25526.45,25531.15,2366385
1751520600,25533.2,25549.65,25533.1,25544.85,2374198
1751520900,25544.25,25567.1,25543.55,25561.8,2218518
1751521200,25560.6,25563.7,25549.6,25554.2,3228025
1751521500,25554.85,25565.65,25549.3,25554.7,3920742
1751521800,25555,25567.8,25551.75,25567.2,5788491
